State,Grade
District of Columbia,A-
Nevada,B
Vermont,B
New Jersey,B
Rhode Island,B-
Colorado,B-
Florida,B-
Massachusetts,B-
Michigan,B-
Minnesota,B-
New York,B-
Hawaii,B-
Delaware,C
North Dakota,C
Kansas,C
Maine,C
Wisconsin,C
Maryland,C
Pennsylvania,C
Texas,C
New Hampshire,C
California,C
Connecticut,C
Illinois,C
Louisiana,C-
Nebraska,C-
Virginia,C-
South Dakota,C-
Arizona,C-
Montana,C-
Georgia,C-
Washington,C-
Indiana,D
New Mexico,D
Tennessee,D
Idaho,D
Missouri,D
Alaska,D
Oklahoma,D
Iowa,D
Ohio,D
Oregon,D
North Carolina,D-
West Virginia,D-
Utah,D-
Mississippi,D-
Alabama,D-
Kentucky,D-
Arkansas,D-
South Carolina,D-
Wyoming,F
